Site,Network(s),City,Country,Agency,Lat,Long,Height (m),Site,Receiver,Antenna,Radome,Calibration,Last RINEX2,Last RINEX3,Sat System,Site
CEBR00ESP,IGS,Cebreros,Spain,ESOC,40.4534306,-4.3678528,775.8,CEBR00ESP,SEPT POLARX5TR,SEPCHOKE_B3E6,NONE,ROBOT,2020-04-05,2020-10-20,GPS+GLO+GAL+BDS+SBAS,CEBR00ESP
CEDU00AUS,IGS,Ceduna,Australia,GA,-31.8666722,133.8098278,144.8,CEDU00AUS,SEPT POLARX5,AOAD/M_T,NONE,ROBOT,2020-10-01,2020-10-15,GPS+GLO+GAL+BDS+QZSS+IRNSS,CEDU00AUS
CGGN00NGA,IGS,TORO,Nigeria,JPL,10.1230948,9.1183115,916.6953,CGGN00NGA,JAVAD TRE_G3TH DELTA,ASH701945B_M,NONE,COPIED,2016-07-11,n/a,GPS+GLO,CGGN00NGA
CHAN00CHN,IGS,CHANGCHUN,China,CHO,43.7905,125.4433,268.3,CHAN00CHN,ASHTECH UZ-12,ASH701945E_M,NONE,ROBOT,2020-10-20,n/a,GPS,CHAN00CHN
CHIL00USA,IGS,San Gabriel Mountains,United States of America,USGS,34.3334222,-118.0259972,1567.51,CHIL00USA,TPS NET-G3A,TPSCR.G3,SCPL,n/a,2020-09-17,n/a,GPS+GLO,CHIL00USA
CHOF00JPN,IGS,Chofu,Japan,DLR/GSOC,35.6745444,139.5310569,93.9,CHOF00JPN,JAVAD TRE_G3TH DELTA,TRM57971.00,NONE,ROBOT,n/a,2020-10-20,GPS+GLO+GAL+QZSS+IRNSS+SBAS,CHOF00JPN
CHPG00BRA,IGS,Cachoeira Paulista,Brazil,CNES,-22.6822731,-45.0023756,566.25,CHPG00BRA,TRIMBLE ALLOY,TRM59800.00,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS,CHPG00BRA
CHPI00BRA,IGS,Cachoeira Paulista,Brazil,JPL,-22.6871444,-44.9851583,617.4176,CHPI00BRA,SEPT POLARX5,TPSCR.G3,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS,CHPI00BRA
CHTI00NZL,IGS,Wharekauri,New Zealand,GNS,-43.735475,-176.6171139,75.7,CHTI00NZL,TRIMBLE ALLOY,TRM115000.00,NONE,ROBOT,2020-10-20,2019-01-22,GPS+GLO+GAL+BDS+QZSS,CHTI00NZL
CHUM00KAZ,IGS,Chumysh,Kazakhstan,JPL,42.9985012,74.7510995,716.3321,CHUM00KAZ,TRIMBLE NETRS,AOAD/M_T,NONE,ROBOT,2020-10-20,n/a,GPS,CHUM00KAZ
CHUR00CAN,IGS,CHURCHILL,Canada,NRCan,58.7591,-94.0887,-18.9,CHUR00CAN,TPS NET-G3A,ASH701945E_M,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO,CHUR00CAN
CHWK00CAN,IGS,Chilliwack,Canada,GSC,49.1566,-122.0084,170,CHWK00CAN,TRIMBLE NETRS,TRM29659.00,SCIS,ROBOT,2020-10-20,n/a,GPS,CHWK00CAN
CIBG00IDN,IGS,Cibinong,Indonesia,CNES,-6.4903648,106.8491735,169.1334,CIBG00IDN,TRIMBLE NETR9,LEIAR25.R4,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS,CIBG00IDN
CIT100USA,IGS,Pasadena,United States of America,USGS,34.1367083,-118.1272861,215.35,CIT100USA,TRIMBLE NETR9,TRM57971.00,NONE,ROBOT,2020-10-20,n/a,GPS+GLO+SBAS,CIT100USA
CKIS00COK,IGS,Rarotonga,Cook Islands,GA,-21.2009361,-159.8006167,18.4,CKIS00COK,TRIMBLE NETR9,JAVRINGANT_DM,NONE,ROBOT,2020-10-19,2020-10-20,GPS+GLO+GAL+BDS+QZSS,CKIS00COK
CKSV00TWN,IGS,Tainan,Taiwan,NLSC,22.9988528,120.2200083,59.6,CKSV00TWN,TRIMBLE ALLOY,TPSCR.G3,TPSH,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS,CKSV00TWN
CMP900USA,IGS,Sylmar,United States of America,USGS,34.3531806,-118.411425,1137.99,CMP900USA,TPS NET-G3A,TPSCR.G3,SCIS,ROBOT,2020-10-20,n/a,GPS+GLO,CMP900USA
CMUM00THA,IGS,Chiang Mai,Thailand,JAXA,18.760875,98.9323778,308.962,CMUM00THA,TRIMBLE NETR9,JAV_GRANT-G3T,NONE,ROBOT,n/a,2020-10-19,GPS+GLO+GAL+BDS+QZSS,CMUM00THA
CNMR00USA,IGS,Saipan,United States,NGS,15.2296972,145.7430917,64.4,CNMR00USA,TRIMBLE NETR9,TRM55971.00,NONE,ROBOT,2020-10-18,n/a,GPS+GLO+GAL,CNMR00USA
COCO00AUS,IGS,Cocos (Keeling) Island,Australia,GA,-12.1883,96.8339,-35.2,COCO00AUS,SEPT POLARX5,AOAD/M_T,NONE,ROBOT,2020-09-30,2020-10-20,GPS+QZSS+GAL+BDS+GLO+IRNSS,COCO00AUS
CORD00ARG,IGS,Cordoba,Argentina,JPL,-31.5284356,-64.4700483,747.0654,CORD00ARG,JAVAD TRE_G3TH DELTA,TPSCR.G3,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL,CORD00ARG
COSO00USA,IGS,Coso Junction,United States of America,USGS,35.9823444,-117.8088889,1455.16,COSO00USA,SEPT POLARX5,TWIVC6150,SCIS,ROBOT,2020-10-20,n/a,GPS+GLO+GAL+SBAS,COSO00USA
COTE00ATA,IGS,N/A,Antarctica,UNAVCO,-77.8059,161.9978,1878.1,COTE00ATA,TRIMBLE NETR9,TRM59800.00,SCIS,ROBOT,2020-10-20,n/a,GPS+GLO,COTE00ATA
COYQ00CHL,IGS,Coyhaique,Chile,NSC,-45.5143,-71.8921,476,COYQ00CHL,TRIMBLE NETR9,ASH700936D_M,SNOW,ROBOT,2020-01-26,n/a,GPS,COYQ00CHL
CPNM00THA,IGS,Chumphon,Thailand,JAXA,10.72465,99.3743778,9.143,CPNM00THA,TRIMBLE NETR9,JAVRINGANT_DM,SCIS,ROBOT,n/a,2020-10-20,GPS+GLO+GAL+BDS+QZSS,CPNM00THA
CPVG00CPV,IGS,Espargos,Cabo Verde,CNES,16.732062,-22.934933,94.089,CPVG00CPV,TRIMBLE NETR9,TRM59800.00,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS,CPVG00CPV
CRAO00UKR,IGS,Simeiz,Ukraine,JPL,44.4132611,33.9909833,365.8,CRAO00UKR,ASHTECH UZ-12,ASH701945C_M,SCIS,ROBOT,2019-08-24,n/a,GPS,CRAO00UKR
CRFP00USA,IGS,Yucaipa,United States of America,USGS,34.0390528,-117.0996833,688.82,CRFP00USA,TRIMBLE NETR9,TRM57971.00,NONE,ROBOT,2020-10-20,n/a,GPS,CRFP00USA
CRO100VIR,IGS,Christiansted,"Virgin Islands, U.S.",JPL,17.7568995,-64.5843186,-31.4974,CRO100VIR,JAVAD TRE_3 DELTA,JAVRINGANT_DM,SCIS,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+QZSS,CRO100VIR
CUSV00THA,IGS,Patumwan,Thailand,JPL,13.7359139,100.5339083,76.06,CUSV00THA,JAVAD TRE_3 DELTA,JAVRINGANT_DM,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+QZSS,CUSV00THA
CUT000AUS,IGS,"Bentley, Perth",Australia,CUT,-32.0038889,115.8948,24,CUT000AUS,TRIMBLE NETR9,TRM59800.00,SCIS,ROBOT,2020-09-29,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS,CUT000AUS
CUUT00THA,IGS,Chulalongkorn University,Thailand,CU,13.7359912,100.5339348,74.296,CUUT00THA,TRIMBLE NETR9,TRM57971.00,NONE,ROBOT,n/a,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS,CUUT00THA
CZTG00ATF,IGS,Alfred-Faure,French Southern Territories,CNES,-46.4318944,51.8554806,202.8,CZTG00ATF,TRIMBLE NETR9,LEIAR20,LEIM,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+SBAS,CZTG00ATF
DAE200KOR,IGS,Daejeon,South Korea,JAXA,36.399425,127.3744806,116.824,DAE200KOR,TRIMBLE NETR9,TRM59800.00,SCIS,ROBOT,n/a,2020-10-20,GPS+GLO+GAL+BDS+QZSS,DAE200KOR
DAEJ00KOR,IGS,Daejeon,Republic of Korea,KASI,36.3994,127.3745,117.037,DAEJ00KOR,TRIMBLE NETR9,TRM59800.00,SCIS,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+QZSS,DAEJ00KOR
DAKR00SEN,IGS,Dakar,Senegal,ANAT/DTGC,14.7212222,-17.4394722,51,DAKR00SEN,TPS NET-G3A,TPSCR.G3,NONE,ROBOT,2020-10-20,n/a,GPS+GLO,DAKR00SEN
DARW00AUS,IGS,Darwin,Australia,GA,-12.8437111,131.1327361,125.2,DARW00AUS,SEPT POLARX5,JAVRINGANT_DM,NONE,ROBOT,2020-10-01,2020-10-20,GPS+GLO+BDS+QZSS+IRNSS+GAL,DARW00AUS
DAV100ATA,IGS,Davis,Antarctica,GA,-68.5773,77.9726,44.5,DAV100ATA,SEPT POLARX5,LEIAR25.R3,LEIT,ROBOT,2020-10-01,2020-10-20,GPS+GLO+GAL+BDS+QZSS+IRNSS,DAV100ATA
DEAR00ZAF,IGS,DE AAR,South Africa,NGI,-30.6652056,23.9926389,1321.7,DEAR00ZAF,TRIMBLE NETRS,ASH701941.B,SCIS,ROBOT,2020-09-29,n/a,GPS,DEAR00ZAF
DGAR00GBR,IGS,Diego Garcia Island,United Kingdom,JPL,-7.2696843,72.3702402,-64.7455,DGAR00GBR,SEPT POLARX5,ASH701945E_M,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL+BDS+QZSS+IRNSS,DGAR00GBR
DHLG00USA,IGS,Durmid Hill,United States of America,USGS,33.3898056,-115.7880278,-83.05,DHLG00USA,TPS NET-G3A,TPSCR.G3,SCIS,ROBOT,2020-10-20,n/a,GPS+GLO,DHLG00USA
DJIG00DJI,IGS,Observatoire Geophysique dArta,Djibouti,CNES,11.5262876,42.8470645,711.409,DJIG00DJI,SEPT POLARX5,TRM59800.00,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS+IRNSS,DJIG00DJI
DLF100NLD,IGS,Delft,Netherlands,DUT,51.9860194,4.3874583,75.8,DLF100NLD,TRIMBLE NETR9,LEIAR25.R3,LEIT,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS,DLF100NLD
DLTV00VNM,IGS,Da Lat,Vietnam,JAXA,11.945,108.482,1587.62,DLTV00VNM,TRIMBLE NETR9,JAVRINGANT_DM,SCIS,ROBOT,n/a,2017-11-24,GPS+GLO+GAL+BDS+QZSS,DLTV00VNM
DRAG00ISR,IGS,Metzoki dragot,Israel,SOI,31.5932,35.3920694,31.8,DRAG00ISR,JAVAD TRE_3 DELTA,ASH700936D_M,SNOW,ROBOT,2020-10-20,n/a,GPS+GLO,DRAG00ISR
DRAO00CAN,IGS,Penticton,Canada,GSC,49.3226,-119.625,542,DRAO00CAN,SEPT POLARX5,TRM59800.00,SCIS,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL,DRAO00CAN
DUBO00CAN,IGS,LAC DU BONNET,Canada,NRCan,50.2588,-95.8662,251,DUBO00CAN,SEPT POLARX5,AOAD/M_T,NONE,ROBOT,2020-10-20,2020-10-19,GPS+GLO+GAL,DUBO00CAN
DUMG00ATA,IGS,"Antarctic base of ""Dumont d'Urville""",Antarctica,CNES,-66.6651694,140.0022,-3.38,DUMG00ATA,LEICA GR25,LEIAR25.R4,LEIT,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+QZSS+SBAS,DUMG00ATA
DUND00NZL,IGS,Dunedin,New Zealand,GNS,-45.883675,170.597175,386.9,DUND00NZL,TRIMBLE ALLOY,TRM115000.00,NONE,ROBOT,2020-10-20,2019-01-22,GPS+GLO+GAL+BDS+QZSS,DUND00NZL
DYNG00GRC,IGS,DIONYSOS,Greece,CNES,38.0785528,23.9324333,510.6,DYNG00GRC,TRIMBLE NETR9,TRM59800.00,NONE,ROBOT,2020-10-20,2020-10-20,GPS+GLO+GAL+BDS+SBAS,DYNG00GRC
EBRE00ESP,IGS,Roquetes,Spain,ICGC,40.8208861,0.49235,107.3,EBRE00ESP,LEICA GR50,LEIAR25.R4,NONE,ROBOT,2020-04-14,2020-10-20,GPS+GLO+GAL+BDS,EBRE00ESP
EIL300USA,IGS,Fairbanks,United States,NGA,64.6878889,-147.1130139,177.2,EIL300USA,ITT 3750300,TPSCR.G5,TPSH,ROBOT,2020-10-18,n/a,GPS,EIL300USA
EIL400USA,IGS,Fairbanks,United States,NGA,64.6878889,-147.1130139,177.2,EIL400USA,ITT 3750300,TPSCR.G5,TPSH,ROBOT,2020-10-18,n/a,GPS,EIL400USA
ENAO00PRT,IGS,Santa Cruz da Graciosa,Portugal,GFZ,39.0912,-28.0260111,91.9,ENAO00PRT,JAVAD TRE_3,JAVRINGANT_G5T,NONE,ROBOT,n/a,2020-10-20,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,ENAO00PRT
EPRT00USA,IGS,Eastport,United States,NGS,44.9087111,-66.9921306,30.4,EPRT00USA,LEICA GR50,LEIAR20,LEIM,ROBOT,2019-03-23,n/a,GPS+GLO+GAL,EPRT00USA
